image_path,class_id,x_min,y_min,x_max,y_max
dataset/images/train\00009e5b390986a0.jpg,0.0,0.4805078125,0.8983397565982405,0.04124999999999995,0.030018999999999924
dataset/images/train\00009e5b390986a0.jpg,0.0,0.9905859375,0.7705236539589442,0.01375000000000004,0.018762000000000074
dataset/images/train\000228608388803f.jpg,0.0,0.2428515625,0.8111975833333332,0.12874999999999998,0.08250000000000002
dataset/images/train\00043e7c5c4c025a.jpg,0.0,0.804609375,0.5358850833333334,0.07500000000000007,0.06750000000000005
dataset/images/train\0005ea10e0e14db1.jpg,0.0,0.8772784375,0.40282267496339674,0.06184900000000004,0.040038999999999984
dataset/images/train\0006dc0977056410.jpg,0.0,0.441484375,0.7267341327800829,0.10562500000000002,0.025249000000000056
dataset/images/train\00071c51c8e92a68.jpg,0.0,0.7699479166666666,0.67,0.15437500000000007,0.09375
dataset/images/train\00072b81abc72d21.jpg,0.0,0.2845703125,0.873529918128655,0.057499999999999996,0.02059899999999993
dataset/images/train\000812dcf304a8e7.jpg,0.0,0.4388671875,0.8126315434298442,0.08437500000000003,0.04062799999999995
dataset/images/train\000883b46adeca7e.jpg,0.0,0.848671875,0.7689664256144889,0.09000000000000008,0.1118470000000001
dataset/images/train\0009c4ddcaab18d3.jpg,0.0,0.8451953125,0.46682325,0.08937499999999998,0.07083299999999992
dataset/images/train\0009c4ddcaab18d3.jpg,0.0,0.9825,0.4196354166666667,0.03249999999999997,0.045000000000000005
dataset/images/train\00103aa8df33633a.jpg,0.0,0.438046875,0.6978351512481645,0.185,0.12030099999999992
dataset/images/train\001065dbc46c29c8.jpg,0.0,0.1743359375,0.6381461739130435,0.046249999999999986,0.034521999999999976
dataset/images/train\0010f4c10f7ab07e.jpg,0.0,0.4448828125,0.7005208333333334,0.04125000000000001,0.027500000000000007
dataset/images/train\0011d11a6a5ab5ad.jpg,0.0,0.4923828125,0.8059500606060607,0.07312500000000005,0.022308999999999954
dataset/images/train\0015ed86d644a332.jpg,0.0,0.0253125,0.8646631974522293,0.04875,0.018745000000000026
dataset/images/train\0015ed86d644a332.jpg,0.0,0.8523828125,0.8751554267515923,0.04249999999999998,0.013855000000000131
dataset/images/train\0016bd822c0a9511.jpg,0.0,0.6803515625,0.5534895833333333,0.12875000000000003,0.11250000000000004
dataset/images/train\00179ef6f55e4ba6.jpg,0.0,0.938213125,0.5944711229868228,0.03607499999999997,0.09523799999999999
dataset/images/train\0018e004f5cac5e0.jpg,0.0,0.033203125,0.5005096939970717,0.068125,0.24390200000000006
dataset/images/train\00192c1070c51ae3.jpg,0.0,0.1571484375,0.7270611595900439,0.029375000000000012,0.028141999999999973
dataset/images/train\00192c1070c51ae3.jpg,0.0,0.3696875,0.7802335461200585,0.04749999999999999,0.036586000000000035
dataset/images/train\001bebecea382500.jpg,0.0,0.553671875,0.8061458333333333,0.215625,0.05916699999999997
